id,tz,sleep_from,sleep_to,sched,hours,rating,comment,framerate,snore,noise,cycles,deepsleep,lenadjust,geo,tags
1684025211325,Europe/Amsterdam,2023-05-14 02:46:00,2023-05-14 09:54:00,2023-05-14 10:00:00,7.13,0.0, #watch   #geo1,10008,2910,0.062280346,8,0.43023255,-51,e08d6816,"watch,geo1"
1683941531751,Europe/Amsterdam,2023-05-13 03:32:00,2023-05-13 09:46:00,2023-05-13 10:00:00,6.24,0.0, #watch  #geo1,10008,0,0.04087253,5,0.38666666,-37,e08d6816,"watch,geo1"
1683845267813,Europe/Amsterdam,2023-05-12 00:47:00,2023-05-12 07:56:00,2023-05-12 08:20:00,7.15,0.0, #watch #auto  #geo1,10008,0,0.089624174,8,0.5058824,-46,e08d6816,"watch,auto,geo1"
1683757505892,Europe/Amsterdam,2023-05-11 00:25:00,2023-05-11 07:41:00,2023-05-11 07:40:00,7.28,0.0, #watch  #geo1,10008,1290,0.027726786,9,0.5039075,-17,e08d6816,"watch,geo1"
1683671518503,Europe/Amsterdam,2023-05-10 00:31:00,2023-05-10 07:51:00,2023-05-10 07:40:00,7.32,0.0, #watch  #geo1,10008,0,0.03229155,5,0.4883721,-12,e08d6816,"watch,geo1"
1683587031733,Europe/Amsterdam,2023-05-09 01:03:00,2023-05-09 07:45:00,2023-05-09 07:40:00,6.69,0.0, #watch  #geo1,10008,60,0.061211642,8,0.4236684,-35,e08d6816,"watch,geo1"
1683497198531,Europe/Amsterdam,2023-05-08 00:06:00,2023-05-08 07:51:00,2023-05-08 07:40:00,7.74,0.0, #watch  #geo1,10008,0,-3.0518514e-08,7,0.32258064,-21,e08d6816,"watch,geo1"
1683412499484,Europe/Amsterdam,2023-05-07 00:34:00,2023-05-07 08:22:00,2023-05-07 08:00:00,7.79,0.0, #watch    #geo1,10008,2160,0.071083225,5,0.29787233,-21,e08d6816,"watch,geo1"
1683332376462,Europe/Amsterdam,2023-05-06 02:19:00,2023-05-06 10:04:00,2023-05-06 10:20:00,7.74,0.0, #watch #fullmoon  #geo1,10008,660,0.025215581,3,0.26984128,-5,e08d6816,"watch,fullmoon,geo1"
1683238148487,Europe/Amsterdam,2023-05-05 00:09:00,2023-05-05 07:29:00,2023-05-05 07:45:00,7.33,0.0, #watch    #geo1,10008,150,0.032081213,5,0.36363548,-22,e08d6816,"watch,geo1"
1683154127123,Europe/Amsterdam,2023-05-04 00:48:00,2023-05-04 07:53:00,2023-05-04 07:50:00,7.08,0.0, #watch   #geo1,10008,420,0.031018637,6,0.3764706,-13,e08d6816,"watch,geo1"
1683066248193,Europe/Amsterdam,2023-05-03 00:24:00,2023-05-03 07:44:00,2023-05-03 07:50:00,7.34,0.0, #watch      #geo1,10008,0,0.03158434,5,0.24977902,-63,e08d6816,"watch,geo1"
1682983630464,Europe/Amsterdam,2023-05-02 01:27:00,2023-05-02 07:46:00,2023-05-02 07:50:00,6.33,0.0, #watch      #geo1,10008,2010,0.03261911,8,0.5,-29,e08d6816,"watch,geo1"
1682900237353,Europe/Brussels,2023-05-01 02:17:00,2023-05-01 09:23:00,2023-05-01 09:30:00,7.11,0.0,  #geo0,10008,0,0.049055453,7,0.5,-12,e085242c,geo0
1682713168871,Europe/Brussels,2023-04-28 22:19:00,2023-04-29 08:15:00,2023-04-29 08:00:00,9.94,0.0, #watch #auto        #geo0,10008,0,0.026421797,8,0.2960234,-100,e085242c,"watch,auto,geo0"
1682640841997,Europe/Amsterdam,2023-04-28 02:14:00,2023-04-28 08:06:00,2023-04-28 08:20:00,5.87,0.0, #watch   #geo1,10008,150,0.054956276,6,0.52112675,-28,e08d6816,"watch,geo1"
1682559515796,Europe/Amsterdam,2023-04-27 03:38:00,2023-04-27 11:27:00,2023-04-27 11:30:00,7.82,0.0, #watch   #geo1,10008,150,0.06617927,8,0.44680852,-22,e08d6816,"watch,geo1"
1682462959080,Europe/Amsterdam,2023-04-26 00:49:00,2023-04-26 07:51:00,2023-04-26 07:50:00,7.04,0.0, #watch    #geo1,10008,1410,0.047965974,8,0.43529412,-9,e08d6816,"watch,geo1"
1682374490640,Europe/Amsterdam,2023-04-25 00:14:00,2023-04-25 08:46:00,2023-04-25 08:50:00,8.53,0.0, #watch   #geo1,10008,60,0.062746644,5,0.28712872,-107,e08d6816,"watch,geo1"
1682291471622,Europe/Amsterdam,2023-04-24 01:11:00,2023-04-24 08:01:00,2023-04-24 07:50:00,6.83,0.0, #watch  #geo1,10008,840,0.093612544,7,0.46338403,-24,e08d6816,"watch,geo1"
1682213190907,Europe/Amsterdam,2023-04-23 03:26:00,2023-04-23 09:40:00,2023-04-23 09:20:00,6.24,0.0, #watch   #geo1,10008,30,0.06350652,5,0.36,-45,e08d6816,"watch,geo1"
1682121778873,Europe/Amsterdam,2023-04-22 02:02:00,2023-04-22 10:11:00,2023-04-22 09:20:00,8.15,0.0, #watch  #geo1,10008,0,0.07277111,7,0.3469388,-52,e08d6816,"watch,geo1"
1682033235132,Europe/Amsterdam,2023-04-21 01:27:00,2023-04-21 07:50:00,2023-04-21 07:50:00,6.38,0.0, #watch   #geo1,10008,0,0.024159718,6,0.35064936,-4,e08d6816,"watch,geo1"
1681943364887,Europe/Amsterdam,2023-04-20 00:29:00,2023-04-20 07:46:00,2023-04-20 07:50:00,7.29,0.0, #watch #newmoon       #geo1,10008,390,0.052898627,4,0.375,-40,e08d6816,"watch,newmoon,geo1"
1681857929499,Europe/Amsterdam,2023-04-19 00:45:00,2023-04-19 08:01:00,2023-04-19 07:50:00,7.26,0.0, #watch   #geo1,10008,120,0.04420269,6,0.31764707,-21,e08d6816,"watch,geo1"
1681770802494,Europe/Amsterdam,2023-04-18 00:33:00,2023-04-18 07:53:00,2023-04-18 07:50:00,7.34,0.0, #watch   #geo1,10008,0,-3.051851e-08,8,0.3858856,-72,e08d6816,"watch,geo1"
1681687799521,Europe/Amsterdam,2023-04-17 01:29:00,2023-04-17 07:57:00,2023-04-17 07:50:00,6.45,0.0, #watch   #geo1,10008,570,0.055165246,6,0.37179488,-19,e08d6816,"watch,geo1"
1681600917807,Europe/Amsterdam,2023-04-16 01:21:00,2023-04-16 09:37:00,2023-04-16 09:20:00,8.26,0.0, #watch   #geo1,10008,2790,0.034069583,10,0.40359384,-134,e08d6816,"watch,geo1"
1681518492443,Europe/Amsterdam,2023-04-15 02:28:00,2023-04-15 09:59:00,2023-04-15 09:30:00,7.52,0.0, #watch   #geo1,10008,0,0.028782792,6,0.34848484,-17,e08d6816,"watch,geo1"
1681425925922,Europe/Amsterdam,2023-04-14 00:45:00,2023-04-14 07:45:00,2023-04-14 07:40:00,7.01,0.0, #watch  #geo1,10008,60,0.03455611,6,0.3116883,-23,e08d6816,"watch,geo1"
1681340069395,Europe/Amsterdam,2023-04-13 00:54:00,2023-04-13 07:46:00,2023-04-13 07:35:00,6.86,0.0, #watch     #geo1,10008,900,0.046276666,1,0.45,-15,e08d6816,"watch,geo1"
1681254843663,Europe/Amsterdam,2023-04-12 01:14:00,2023-04-12 08:12:00,2023-04-12 08:20:00,6.98,0.0, #watch   #geo1,10008,1200,0.04996804,6,0.41666666,-54,e08d6816,"watch,geo1"
1681193021172,Europe/Amsterdam,2023-04-11 08:03:00,2023-04-11 08:16:00,2023-04-11 08:18:00,0.22,0.0,Nap length 0:15 #watch #light #geo1,10008,0,0.035523545,0,-1.0,-5,e08d6816,"watch,light,geo1"
1681166631712,Europe/Amsterdam,2023-04-11 00:43:00,2023-04-11 08:03:00,2023-04-11 08:10:00,7.33,0.0, #watch  #geo1,10008,540,0.03174578,3,0.22727273,-11,e08d6816,"watch,geo1"
1681081214927,Europe/Amsterdam,2023-04-10 01:00:00,2023-04-10 08:41:00,2023-04-10 07:25:00,7.69,0.0, #watch    #geo1,10008,0,0.026548233,8,0.42276046,-21,e08d6816,"watch,geo1"
1680991428128,Europe/Amsterdam,2023-04-09 00:03:00,2023-04-09 08:12:00,2023-04-09 07:10:00,8.15,0.0, #watch  #geo1,10008,0,0.10845241,7,0.53125,-79,e08d6816,"watch,geo1"
1680911384546,Europe/Amsterdam,2023-04-08 01:49:00,2023-04-08 10:12:00,2023-04-08 09:30:00,8.39,0.0, #watch  #geo1,10008,0,0.09588126,7,0.35643566,-94,e08d6816,"watch,geo1"
1680821251208,Europe/Amsterdam,2023-04-07 00:47:00,2023-04-07 08:00:00,2023-04-07 08:00:00,7.22,0.0, #watch   #geo3,10008,0,0.050560173,6,0.33333334,-49,e08d36fc,"watch,geo3"
