id,sleep_year,sleep_month,sleep_week,sleep_day_of_week,sleep_day_of_month,sleep_from,sleep_to,sched,hours,lenadjust,corrected_hours,rating,snore,noise,cycles,deepsleep,geo
1683587031733,2023,05,19,1,08,1.05,7.75,7.666666666666667,6.69,-35.0,6.106666666666667,0.0,60,0.061211642,8,0.4236684,e08d6816
1683497198531,2023,05,18,0,07,0.1,7.85,7.666666666666667,7.74,-21.0,7.390000000000001,0.0,0,-3.0518514e-08,7,0.32258064,e08d6816
1683412499484,2023,05,18,6,06,0.5666666666666667,8.366666666666667,8.0,7.79,-21.0,7.44,0.0,2160,0.071083225,5,0.29787233,e08d6816
1683332376462,2023,05,18,5,05,2.3166666666666664,10.066666666666666,10.333333333333334,7.74,-5.0,7.656666666666667,0.0,660,0.025215581,3,0.26984128,e08d6816
1683238148487,2023,05,18,4,04,0.15,7.483333333333333,7.75,7.33,-22.0,6.963333333333334,0.0,150,0.032081213,5,0.36363548,e08d6816
1683154127123,2023,05,18,3,03,0.8,7.883333333333333,7.833333333333333,7.08,-13.0,6.863333333333333,0.0,420,0.031018637,6,0.3764706,e08d6816
1683066248193,2023,05,18,2,02,0.4,7.733333333333333,7.833333333333333,7.34,-63.0,6.29,0.0,0,0.03158434,5,0.24977902,e08d6816
1682983630464,2023,05,18,1,01,1.45,7.766666666666667,7.833333333333333,6.33,-29.0,5.846666666666667,0.0,2010,0.03261911,8,0.5,e08d6816
1682900237353,2023,04,17,0,30,2.283333333333333,9.383333333333333,9.5,7.11,-12.0,6.91,0.0,0,0.049055453,7,0.5,e085242c
1682713168871,2023,04,17,5,28,-1.6833333333333333,8.25,8.0,9.94,-100.0,8.273333333333333,0.0,0,0.026421797,8,0.2960234,e085242c
1682640841997,2023,04,17,4,27,2.2333333333333334,8.1,8.333333333333334,5.87,-28.0,5.403333333333333,0.0,150,0.054956276,6,0.52112675,e08d6816
1682559515796,2023,04,17,3,26,3.6333333333333333,11.45,11.5,7.82,-22.0,7.453333333333334,0.0,150,0.06617927,8,0.44680852,e08d6816
1682462959080,2023,04,17,2,25,0.8166666666666667,7.85,7.833333333333333,7.04,-9.0,6.89,0.0,1410,0.047965974,8,0.43529412,e08d6816
1682374490640,2023,04,17,1,24,0.23333333333333334,8.766666666666667,8.833333333333334,8.53,-107.0,6.746666666666666,0.0,60,0.062746644,5,0.28712872,e08d6816
1682291471622,2023,04,16,0,23,1.1833333333333333,8.016666666666667,7.833333333333333,6.83,-24.0,6.43,0.0,840,0.093612544,7,0.46338403,e08d6816
1682213190907,2023,04,16,6,22,3.4333333333333336,9.666666666666666,9.333333333333334,6.24,-45.0,5.49,0.0,30,0.06350652,5,0.36,e08d6816
1682121778873,2023,04,16,5,21,2.033333333333333,10.183333333333334,9.333333333333334,8.15,-52.0,7.283333333333333,0.0,0,0.07277111,7,0.3469388,e08d6816
1682033235132,2023,04,16,4,20,1.45,7.833333333333333,7.833333333333333,6.38,-4.0,6.3133333333333335,0.0,0,0.024159718,6,0.35064936,e08d6816
1681943364887,2023,04,16,3,19,0.48333333333333334,7.766666666666667,7.833333333333333,7.29,-40.0,6.623333333333333,0.0,390,0.052898627,4,0.375,e08d6816
1681857929499,2023,04,16,2,18,0.75,8.016666666666667,7.833333333333333,7.26,-21.0,6.91,0.0,120,0.04420269,6,0.31764707,e08d6816
1681770802494,2023,04,16,1,17,0.55,7.883333333333333,7.833333333333333,7.34,-72.0,6.14,0.0,0,-3.051851e-08,8,0.3858856,e08d6816
1681687799521,2023,04,15,0,16,1.4833333333333334,7.95,7.833333333333333,6.45,-19.0,6.133333333333334,0.0,570,0.055165246,6,0.37179488,e08d6816
1681600917807,2023,04,15,6,15,1.35,9.616666666666667,9.333333333333334,8.26,-134.0,6.026666666666666,0.0,2790,0.034069583,10,0.40359384,e08d6816
1681518492443,2023,04,15,5,14,2.466666666666667,9.983333333333333,9.5,7.52,-17.0,7.236666666666666,0.0,0,0.028782792,6,0.34848484,e08d6816
1681425925922,2023,04,15,4,13,0.75,7.75,7.666666666666667,7.01,-23.0,6.626666666666666,0.0,60,0.03455611,6,0.3116883,e08d6816
1681340069395,2023,04,15,3,12,0.9,7.766666666666667,7.583333333333333,6.86,-15.0,6.61,0.0,900,0.046276666,1,0.45,e08d6816
1681254843663,2023,04,15,2,11,1.2333333333333334,8.2,8.333333333333334,6.98,-54.0,6.08,0.0,1200,0.04996804,6,0.41666666,e08d6816
1681193021172,2023,04,15,1,10,8.05,8.266666666666667,8.3,0.22,-5.0,0.13666666666666666,0.0,0,0.035523545,0,-1.0,e08d6816
1681166631712,2023,04,15,1,10,0.7166666666666667,8.05,8.166666666666666,7.33,-11.0,7.1466666666666665,0.0,540,0.03174578,3,0.22727273,e08d6816
