day_of_week,short_name,long_name,sleep_to,snooze,alarm,sleep_from,snore,deepsleep,cycles,hours,corrected_hours
0,Sun,Sunday,9.273519458544836,0.28824027072758035,8.985279187817259,1.0015297906602254,261.2657004830918,0.3244696292753623,7.169082125603865,7.154106280193236,6.730515297906608
1,Mon,Monday,8.156360708534619,0.01392914653784223,8.14243156199678,0.9830882352941173,272.1617647058824,0.34432668995098054,7.068627450980392,7.155441176470588,6.746781045751634
2,Tue,Tuesday,8.138071895424837,0.2283496732026142,7.909722222222221,0.9700495049504951,189.2970297029703,0.27674484608415845,7.00990099009901,7.19524752475247,6.75688118811881
3,Wed,Wednesday,8.16625412541254,0.02739273927392738,8.138861386138617,1.089371980676328,296.77777777777777,0.2953686825120773,6.93719806763285,7.173719806763285,6.71727858293076
4,Thu,Thursday,8.263204508856678,0.059661835748792226,8.203542673107888,1.253577235772358,270.55121951219513,0.33291300139999985,7.1658536585365855,7.001804878048782,6.550097560975607
5,Fri,Friday,8.255203252032523,0.019593495934959328,8.235609756097562,1.8263071895424843,220.69607843137254,0.3539688869607844,7.098039215686274,7.316568627450978,6.881274509803924
6,Sat,Saturday,9.143545751633983,0.042565359477124164,9.100980392156861,2.044331641285955,453.7817258883249,0.3424159501522842,7.16751269035533,7.224010152284266,6.80065989847716
